system:index,gain_ha,gain_m2,.geo
00000000000000000037,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.94225152969186,18.893501023508176],[72.94225152969186,18.89375074855005],[72.942001823198,18.893750686765163],[72.942001823198,18.893501049655057],[72.94225152969186,18.893501023508176]]]}"
00000000000000000038,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.942001823198,18.893750686765163],[72.942001823198,18.89425013687833],[72.94175211644196,18.894250161870144],[72.94175211644196,18.893750712251908],[72.942001823198,18.893750686765163]]]}"
00000000000000000039,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.9527482468601,18.89425015750915],[72.9527482468601,18.894749541927915],[72.95249855139978,18.894749584187473],[72.95249855139978,18.89425011257513],[72.9527482468601,18.89425015750915]]]}"
0000000000000000003a,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.94774960191674,18.894499874093835],[72.94774960191674,18.894749517596463],[72.94749990119894,18.89474955159401],[72.94749990119894,18.89449982065228],[72.94774960191674,18.894499874093835]]]}"
0000000000000000003b,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.94225152969186,18.899997877244864],[72.94225152969186,18.900252078815384],[72.942001823198,18.90025209827255],[72.942001823198,18.899997896953913],[72.94225152969186,18.899997877244864]]]}"
0000000000000000003c,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.00725177540018,18.8925021396568],[73.00725177540018,18.89350103215658],[73.00700213764418,18.89350099030197],[73.00700213764418,18.89250218649456],[73.00725177540018,18.8925021396568]]]}"
0000000000000000003d,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.00725177540018,18.89375073379154],[73.00725177540019,18.89400043560114],[73.00700213764418,18.894000393253666],[73.00700213764418,18.893750691690496],[73.00725177540018,18.89375073379154]]]}"
0000000000000000003e,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.00750150297957,18.894749593186894],[73.00750150297957,18.895248998870542],[73.00725177540018,18.895248947268254],[73.00725177540018,18.89474954207764],[73.00750150297957,18.894749593186894]]]}"
0000000000000000003f,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.07250185022995,18.897001382226932],[73.07250185022995,18.897251150590133],[73.07174828265649,18.89725114554728],[73.07174828265649,18.897001377925086],[73.07250185022995,18.897001382226932]]]}"
00000000000000000040,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.06925114371735,18.89474957181894],[73.06925114371735,18.894499808399793],[73.06950089485146,18.894499852986982],[73.06950089485146,18.894000413909545],[73.06975055565054,18.89400044919366],[73.06975055565054,18.893251335014007],[73.06950089485146,18.89325130046641],[73.06950089485146,18.891498842597322],[73.06975055565054,18.891498875421927],[73.06975055565054,18.891748549506108],[73.07000030624506,18.8917485905625],[73.07000030624506,18.891998265066828],[73.07074937627979,18.891998281973684],[73.07074937627979,18.891498843938365],[73.07099912579494,18.89149888309977],[73.07099912579494,18.891748558411447],[73.0712488750402,18.891748597406032],[73.0712488750402,18.891498834120256],[73.07149853395102,18.89149886405934],[73.07174828265649,18.89149890198367],[73.07174828265649,18.891998254254542],[73.07199794102767,18.891998283860172],[73.07199794102767,18.892502199231295],[73.07250185022995,18.892502160083826],[73.0727515077868,18.89250218894082],[73.0727515077868,18.89325131040099],[73.0730012551377,18.893251260249944],[73.07300125513771,18.89375070516358],[73.0732510022186,18.893750742820735],[73.0732510022186,18.894250101193624],[73.07350065896573,18.894250130531997],[73.07350065896571,18.894499810225494],[73.0732510022186,18.8944998683717],[73.0732510022186,18.894749547994255],[73.07350065896573,18.89474957782355],[73.07350065896573,18.895498706204094],[73.07375040550657,18.89549865702488],[73.07375040550657,18.895998106551694],[73.07400006171386,18.895998136783668],[73.07400006171386,18.896247818188765],[73.07424980771464,18.896247768920954],[73.07424980771464,18.89650201274843],[73.07499895403319,18.89650194255267],[73.07499895403319,18.896247785706517],[73.07549835354084,18.8962478505233],[73.07549835354084,18.89549871468219],[73.07625190887738,18.89549869583645],[73.07625190887738,18.89524901274127],[73.0767513957368,18.895248992121235],[73.0767513957368,18.89624781524303],[73.077250791453,18.896247786540428],[73.07750053393688,18.896247819634436],[73.07750053393688,18.896501978983093],[73.07775018608845,18.896502003518645],[73.07775018608845,18.897001374577606],[73.07799992803183,18.89700140758758],[73.07799992803184,18.897251093623893],[73.07824957964306,18.897251118070983],[73.07824957964306,18.897500804526878],[73.0784993210459,18.897500837202944],[73.0784993210459,18.89800021112827],[73.07824957964306,18.898000265693916],[73.07824957964306,18.898249952672536],[73.07799992803183,18.898249927244024],[73.07799992803183,18.898000240510743],[73.07775018608845,18.898000206518955],[73.07775018608845,18.897500834065895],[73.07750053393688,18.897500808548887],[73.07750053393688,18.897750494442974],[73.0770010486988,18.897750512620313],[73.0770010486988,18.89849965760762],[73.07625190887738,18.89849964410193],[73.07625190887737,18.898249958912185],[73.07549835354084,18.898249969597742],[73.07549835354084,18.898499654046937],[73.07524860889052,18.898499615432286],[73.07524860889052,18.898000247199047],[73.07549835354084,18.898000197591134],[73.07549835354084,18.897750513490397],[73.07524860889052,18.897750563343724],[73.07524860889052,18.897500791931215],[73.07449955344534,18.897500781085686],[73.07449955344534,18.897750551761742],[73.07400006171386,18.897750560024473],[73.07400006171386,18.897500789839512],[73.07424980771464,18.897500829534405],[73.07424980771464,18.89725114700923],[73.0732510022186,18.897251091264838],[73.0732510022186,18.897750542256723],[73.07250185022995,18.897750512378586],[73.07250185022995,18.897500831397238],[73.07300125513771,18.897500819194324],[73.07300125513771,18.897251137896344],[73.0727515077868,18.89725109638473],[73.0727515077868,18.897001415506505],[73.07250185022995,18.897001382226932],[73.07250185022995,18.89675170176841],[73.07149853395102,18.89675165511728],[73.07149853395102,18.89725110196611],[73.07099912579496,18.89725110969617],[73.07099912579496,18.89874936374944],[73.0712488750402,18.89874940962892],[73.0712488750402,18.899498539744283],[73.07174828265649,18.899498535608085],[73.07199794102767,18.8994984848558],[73.07199794102767,18.89974816673536],[73.07149853395102,18.899748171205506],[73.07149853395102,18.90025209650617],[73.07174828265649,18.900252055307607],[73.07199794102767,18.9002520930268],[73.07199794102767,18.900751458010923],[73.07174828265649,18.900751507531865],[73.07174828265649,18.901001190039636],[73.0722521023391,18.901001247915026],[73.07250185022995,18.90100120620784],[73.07250185022995,18.901250889630383],[73.0727515077868,18.901250927086945],[73.0730012551377,18.901250884800024],[73.07300125513771,18.90175034088058],[73.0727515077868,18.90175029494493],[73.0727515077868,18.902000066866567],[73.07300125513771,18.902000025316077],[73.0732510022186,18.902000071084693],[73.0732510022186,18.90249944096862],[73.07350065896573,18.90249947841518],[73.07350065896571,18.902998849485712],[73.07300125513771,18.902998852529684],[73.07300125513771,18.902499482440845],[73.07149853395102,18.902499503192516],[73.07149853395102,18.90299887032724],[73.0712488750402,18.90299891681462],[73.0712488750402,18.90349828415428],[73.07099912579496,18.903498321336148],[73.07099912579494,18.90224973005662],[73.0712488750402,18.902249779378398],[73.0712488750402,18.90175032604724],[73.07149853395102,18.90175036606395],[73.07149853395102,18.90150059554842],[73.0712488750402,18.901500643508243],[73.0712488750402,18.9010011912214],[73.07099912579494,18.901001230858284],[73.07074937627979,18.90100118235175],[73.07074937627979,18.9007515008259],[73.07049971655961,18.90075154828449],[73.07024996650473,18.90075149919849],[73.07024996650473,18.900501818337638],[73.07000030624506,18.900501777486387],[73.07000030624506,18.899997942537098],[73.06975055565054,18.89999789336725],[73.06975055565054,18.898999087304265],[73.06950089485146,18.898999047105686],[73.06950089485146,18.898499689475063],[73.06925114371735,18.898499640953812],[73.06925114371735,18.89800019678161],[73.06950089485146,18.898000244811634],[73.06950089485146,18.89725112298827],[73.06975055565054,18.89725107373892],[73.06975055565054,18.897001395810726],[73.06950089485146,18.89700144530548],[73.06950089485146,18.89599808667717],[73.06925114371735,18.895998128345344],[73.06925114371735,18.895498687665786],[73.0690014823789,18.895498650084082],[73.0690014823789,18.8952489741158],[73.06925114371735,18.89524901145201],[73.06925114371735,18.89499924768389],[73.0690014823789,18.89499929832188],[73.0690014823789,18.89474953497378],[73.06925114371735,18.89474957181894]],[[73.07174828265649,18.901750326338377],[73.07250185022995,18.901750344729024],[73.07250185022995,18.90200002867366],[73.07199794102767,18.902000048979662],[73.07199794102767,18.90224973260298],[73.07174828265649,18.90224978065152],[73.07174828265649,18.901750326338377]]]}"
