system:index,water_area_ha,water_area_m2,year,.geo
0_0000000000000000002c,0.07518978141335882,751.8978141335881,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.99099837084765,18.866501117124283],[72.99099837084765,18.86675087143149],[72.99074871581124,18.86675082916668],[72.99074871581124,18.866501162800795],[72.99099837084765,18.866501117124283]]]}"
0_0000000000000000002d,0.9374456410905426,9374.456410905426,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96125170264207,18.867250261038222],[72.96125170264207,18.867000535807623],[72.96150147898877,18.86700054775282],[72.96150147898877,18.8677497247156],[72.96125170264207,18.867749712028427],[72.96125170264207,18.86975181960885],[72.96100201613898,18.869751812977736],[72.96100201613898,18.867250256883725],[72.96125170264207,18.867250261038222]]]}"
0_0000000000000000002e,0.07194016241036208,719.4016241036207,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96150147898877,18.869751834278908],[72.96150147898877,18.87000156169877],[72.96125170264206,18.870001546781385],[72.96125170264207,18.86975181960885],[72.96150147898877,18.869751834278908]]]}"
0_0000000000000000002f,0.07193963734944661,719.3963734944662,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.99200167329477,18.87100041129658],[72.99200167329477,18.87125008207381],[72.99175201932326,18.87125012471441],[72.99175201932326,18.871000366487863],[72.99200167329477,18.87100041129658]]]}"
0_00000000000000000030,0.07518441690183152,751.8441690183151,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.93674900477991,18.87875033373996],[72.93674900477991,18.879000042974564],[72.93649929251237,18.878999986723432],[72.93649929251237,18.878750277736458],[72.93674900477991,18.87875033373996]]]}"
0_00000000000000000031,0.19657650947122013,1965.7650947122013,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.9827490732759,18.88125182745965],[72.9827490732759,18.881501584001096],[72.98175023635721,18.88150154588913],[72.98175023635721,18.881251878030472],[72.9827490732759,18.88125182745965]]]}"
0_00000000000000000032,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.9829987367948,18.881501566352565],[72.9829987367948,18.881751235620786],[72.9827490732759,18.881751253022536],[72.9827490732759,18.881501584001096],[72.9829987367948,18.881501566352565]]]}"
0_00000000000000000033,0.035949014213412414,359.49014213412414,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.9829987367948,18.882250662378986],[72.9829987367948,18.882500419869068],[72.9827490732759,18.88250043653031],[72.9827490732759,18.882250679287093],[72.9829987367948,18.882250662378986]]]}"
0_00000000000000000034,0.46310214198392985,4631.021419839299,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.95075058571013,18.891998321777738],[72.95075058571013,18.891748589541876],[72.95100028300958,18.891748547199445],[72.95100028300958,18.89300159572665],[72.95050079803698,18.89300158136372],[72.95050079803698,18.89250220384343],[72.95025110021211,18.892502156927137],[72.95025110021211,18.89199830857722],[72.95075058571013,18.891998321777738]]]}"
0_00000000000000000035,0.04860570497699812,486.0570497699812,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.94575189871286,18.892751853079897],[72.94575189871286,18.893001581066],[72.94550219589553,18.893001613493215],[72.94550219589553,18.89275188575452],[72.94575189871286,18.892751853079897]]]}"
0_00000000000000000036,0.07193020866842832,719.3020866842832,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.94650100559052,18.893501026974896],[72.94650100559052,18.89375075622781],[72.94625130356036,18.893750701465194],[72.94625130356036,18.89350097245974],[72.94650100559052,18.893501026974896]]]}"
0_00000000000000000037,0.07085992939668545,708.5992939668545,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.94225152969186,18.893501023508176],[72.94225152969186,18.89375074855005],[72.942001823198,18.893750686765163],[72.942001823198,18.893501049655057],[72.94225152969186,18.893501023508176]]]}"
0_00000000000000000038,0.12119975975485411,1211.997597548541,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.942001823198,18.893750686765163],[72.942001823198,18.89425013687833],[72.94175211644196,18.894250161870144],[72.94175211644196,18.893750712251908],[72.942001823198,18.893750686765163]]]}"
0_00000000000000000039,0.13681062493118584,1368.1062493118584,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.9527482468601,18.89425015750915],[72.9527482468601,18.894749541927915],[72.95249855139978,18.894749584187473],[72.95249855139978,18.89425011257513],[72.9527482468601,18.89425015750915]]]}"
0_0000000000000000003a,0.042146638725131164,421.46638725131163,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.94774960191674,18.894499874093835],[72.94774960191674,18.894749517596463],[72.94749990119894,18.89474955159401],[72.94749990119894,18.89449982065228],[72.94774960191674,18.894499874093835]]]}"
0_0000000000000000003b,0.060597709721583945,605.9770972158394,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.94225152969186,18.899997877244864],[72.94225152969186,18.900252078815384],[72.942001823198,18.90025209827255],[72.942001823198,18.899997896953913],[72.94225152969186,18.899997877244864]]]}"
0_0000000000000000003c,0.08045583606794769,804.5583606794769,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00725177540018,18.8925021396568],[73.00725177540018,18.89350103215658],[73.00700213764418,18.89350099030197],[73.00700213764418,18.89250218649456],[73.00725177540018,18.8925021396568]]]}"
0_0000000000000000003d,0.04576363842534084,457.63638425340844,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00725177540018,18.89375073379154],[73.00725177540019,18.89400043560114],[73.00700213764418,18.894000393253666],[73.00700213764418,18.893750691690496],[73.00725177540018,18.89375073379154]]]}"
0_0000000000000000003e,0.08816820573993758,881.6820573993758,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.00750150297957,18.894749593186894],[73.00750150297957,18.895248998870542],[73.00725177540018,18.895248947268254],[73.00725177540018,18.89474954207764],[73.00750150297957,18.894749593186894]]]}"
0_0000000000000000003f,0.216967192293055,2169.67192293055,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.07250185022995,18.897001382226932],[73.07250185022995,18.897251150590133],[73.07174828265649,18.89725114554728],[73.07174828265649,18.897001377925086],[73.07250185022995,18.897001382226932]]]}"
