source_title,source_year,record_type,location,observation_year,month,parameter,unit,powai_min,powai_max,powai_mean,vihar_min,vihar_max,vihar_mean,notes,month_num,plot_label
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Sulphate,mg/L,2.9,2.9,2.9,,,,Single monthly observation from Table 1,3,Mar-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Total alkalinity,mg/L,143.0,143.0,143.0,,,,Single monthly observation from Table 1,3,Mar-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Total hardness,mg/L,182.0,182.0,182.0,,,,Single monthly observation from Table 1,3,Mar-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Transparency,cm,74.0,74.0,74.0,,,,Single monthly observation from Table 1,3,Mar-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Conductivity,mhos/cm,120.0,120.0,120.0,,,,Reported as mhos/cm in paper,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Nitrate,mg/L,1.9,1.9,1.9,,,,Single monthly observation from Table 1,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Phosphate,mg/ml (as reported),0.5,0.5,0.5,,,,Units reported as mg/ml in paper,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Sulphate,mg/L,2.09,2.09,2.09,,,,Single monthly observation from Table 1,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Total alkalinity,mg/L,161.0,161.0,161.0,,,,Single monthly observation from Table 1,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Total hardness,mg/L,169.0,169.0,169.0,,,,Single monthly observation from Table 1,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Transparency,cm,95.0,95.0,95.0,,,,Single monthly observation from Table 1,4,Apr-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Conductivity,mhos/cm,156.0,156.0,156.0,,,,Reported as mhos/cm in paper,5,May-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Nitrate,mg/L,2.01,2.01,2.01,,,,Single monthly observation from Table 1,5,May-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Phosphate,mg/ml (as reported),0.6,0.6,0.6,,,,Units reported as mg/ml in paper,5,May-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Sulphate,mg/L,2.1,2.1,2.1,,,,Single monthly observation from Table 1,5,May-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Total alkalinity,mg/L,166.0,166.0,166.0,,,,Single monthly observation from Table 1,5,May-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Total hardness,mg/L,183.0,183.0,183.0,,,,Single monthly observation from Table 1,5,May-2017
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Transparency,cm,92.0,92.0,92.0,,,,Single monthly observation from Table 1,5,May-2017
